bil,zon,region,address,patients,latitude,longitude
1,B1,GOMBAK SETIA,JALAN SEKOLAH. GOMBAK SETIA 53100 SELANGOR,1,3.2170612876112217, 101.71474789329302
2,B1,GOMBAK SETIA,PPR GOMBAK SETIA BLOK 43. GOMBAK SETIA 53100 KUALA LUMPUR,1,3.2177980947920415, 101.72095781048564
3,B1,GOMBAK SETIA,PPR GOMBAK SETIA BLOK 41. GOMBAK SETIA 53100 KUALA LUMPUR,1,3.216890283098637, 101.71996357795021
4,B1,GOMBAK SETIA,APARTMENT SERI TIOMAN 1. TAMAN MELATI SETAPAK 53100 KUALA LUMPUR,2,3.2215265053137614, 101.72151441391327
5,B1,GOMBAK SETIA,M3 RESIDENCY. NO 67. JALAN MADRASAH. GOMBAK SETIA 53100 KUALA LUMPUR,1,3.2178111239478566, 101.71844559168203
6,B1,GOMBAK SETIA,BLOK 29 FLAT SRI KEDAH. JALAN MADRASAH. GOMBAK SETIA 53100 KUALA LUMPUR,1,3.218542006511373, 101.7198291798001
7,B1,GOMBAK SETIA,BLOK 24 PANGSAPURI DBKL GOMBAK SETIA 53100 KUALA LUMPUR.,1,3.219636906224468, 101.71972285258528
8,B1,GREENWOOD,TAMAN GREENWOOD 68100 BATU CAVES SELANGOR,2,3.2335, 101.7025
9,B1,GREENWOOD,TAMAN GOMBAK RIA 68100 BATU CAVES SELANGOR,1,3.226291521560683, 101.70198180840701
10,B1,GREENWOOD,TAMAN GOMBAK 68100 BATU CAVES SELANGOR,2,3.2275040213166557, 101.701932894914
11,B1,GREENWOOD,TAMAN KOPERASI POLIS FASA 1 68100 KUALA LUMPUR,1,3.219909116700047, 101.69509593366035
12,B1,GREENWOOD,KAMPUNG SIMPANG TIGA 68100 BATU CAVES SELANGOR,3,3.232895820826178, 101.70827716204506
13,B1,GREENWOOD,TAMAN SELASEH FASA 1 68100 BATU CAVES SELANGOR,1,3.227258049509137, 101.69900744783948
14,B1,GREENWOOD,KAMPUNG CHANGKAT BATU 6 ¾ GOMBAK 53100 KL SELANGOR,2,3.2241364953016958, 101.70557259271712
15,B1,SETAPAK,TAMAN SETAPAK INDAH JAYA 53000 KUALA LUMPUR,3,3.189374239690517, 101.7022140233802
16,B1,SETAPAK,TAMAN SETAPAK 53100 KUALA LUMPUR,2,3.187308, 101.703697
17,B1,SETAPAK,TAMAN DANAU KOTA 53100 KUALA LUMPUR,1,3.2025275, 101.7168871
18,B1,SETAPAK,TAMAN IBUKOTA KIRI 53100 KUALA LUMPUR,1,3.213780275347376, 101.71754933128568
19,B1,SETAPAK,TAMAN SETAPAK INDAH 53100 KUALA LUMPUR,2,3.2159, 101.723
20,B1,SETAPAK,VILLA DANAU APARTMENT. DANAU KOTA 53100 KUALA LUMPUR,1,3.209210061027832, 101.72280922374952
21,B1,SETAPAK,FLAT DANAU KOTA BLOK E JALAN PRIMA SETAPAK 5. SETAPAK 53100 KUALA LUMPUR,1,3.1999044178616876, 101.7121781065573
22,B1,SETAPAK,FLAT DANAU KOTA BLOK D JALAN 2/23D TAMAN SETAPAK 53300 KUALA LUMPUR,1,3.1994126965728555, 101.71257413539291
23,B1,SETAPAK,TAMAN AYER PANAS 53200 KUALA LUMPUR,1,3.1897479618179, 101.71435355780115
24,B1,SETAPAK,TAMAN P. RAMLEE 53100 KUALA LUMPUR,1,3.19490454617179, 101.7084540629836
25,B1,SETAPAK,INDAH APARTMENT. JALAN 1D/6 TAMAN SETAPAK INDAH 53100 KUALA LUMPUR,1,3.213649275328512, 101.72176413318837
26,B1,WANGSA MAJU,TAMAN WANGSA MELAWATI 53300 KUALA LUMPUR,3,3.207191732891122, 101.74457893937156
27,B1,WANGSA MAJU,FLAT WANGSA MAJU SEKSYEN 2 WANGSA MAJU 53300 KUALA LUMPUR,2,3.2102654523806695, 101.73418354825189
28,B1,WANGSA MAJU,TAMAN DESA SETAPAK 53300 KUALA LUMPUR,2,3.2078308, 101.731344
29,B1,WANGSA MAJU,SEKSYEN 4 WANGSA MAJU 53300 KUALA LUMPUR,3,3.2033904, 101.7413591
30,B1,WANGSA MAJU,FLAT WANGSA MAJU SEKSYEN 1. WANGSA MAJU 53300 KUALA LUMPUR,2,3.2053558295405, 101.7274561094829
31,B1,WANGSA MAJU,TAMAN WANGSA MELAWATI 53300 KUALA LUMPUR,2,3.2056816, 101.7445541
32,B1,MELAWATI,BLOK F TAMAN MELATI KAWASAN 8 53100 KUALA LUMPUR,1,3.2181710822764438, 101.73716125655733
33,B1,MELAWATI,TAMAN MELAWATI 53100 KUALA LUMPUR,5,3.2161088, 101.7481137
34,B1,MELAWATI,MELAWATI HILLSIDE APARTMENT. TAMAN MELAWATI 53100 AMPANG JAYA SELANGOR,2,3.2201076347023383, 101.74927700840699
35,B1,MELAWATI,KAMPUNG KLANG GATE BAHARU 53100 KUALA LUMPUR,1,3.215204, 101.739821
36,B1,BUKIT ANTARABANGSA,VILLARIA CONDOMINIUM JALAN BUKIT ANTARABANGSA TAMAN BUKIT MULIA 68000 AMPANG JAYA SELANGOR,1,3.195607527706043, 101.77782323724256
37,B1,BUKIT ANTARABANGSA,VILLA DUTA CONDOMINIUM JALAN MULIA 2/1 TAMAN BUKIT MULIA 68000 AMPANG SELANGOR,1,3.192686440473646, 101.77482929491381
38,B1,BUKIT ANTARABANGSA,KAMPUNG KEMENSAH 62000 AMPANG JAYA SELANGOR,1,3.2118369310698007, 101.76765612331012
39,B1,BUKIT ANTARABANGSA,RESIDENSI BISTARIA APARTMENT. JALAN UKAY BISTARI. TAMAN  UKAY BISTARI 68000 AMPANG SELANGOR,1,3.196549670445518, 101.76644267984389
40,B1,UKAY PERDANA,FLAT SRI IMPIAN UKAY PERDANA 68000 AMPANG JAYA SELANGOR,2,3.2102028247901813, 101.78031085258525
41,B1,UKAY PERDANA,KAMPUNG PASIR 68000 AMAPANG JAYA. SELANGOR,1,3.198364474615383, 101.7633057504033
42,B1,UKAY PERDANA,JALAN UP 5/6 UKAY PERDANA 68000 AMPANG SELANGOR,1,3.2063816496399413, 101.78234275258514
43,B1,UKAY PERDANA,SRI BAIDURI APARTMENT JALAN UKAY PERDANA 3 UKAY PERDANA 68000 AMPANG SELANGOR,1,3.2061884255935023, 101.77171577717617
44,B1,UKAY PERDANA,BATU 7 ½ UKAY HEIGHTS 68000 AMPANG JAYA SELANGOR,1,3.1669642082843854, 101.75929801818403
45,B1,KERAMAT,JALAN AU5 54200 AMPANG JAYA SELANGOR,3,3.2013203144709523, 101.75536989491387
46,B1,KERAMAT,FLAT TAMAN KERAMAT 54200 KUALA LUMPUR,3,3.1847275, 101.7445455
47,B1,KERAMAT,JALAN ENGGANG TIMUR TAMAN KERAMAT 54200 KUALA LUMPUR,2,3.1694893204644417, 101.74356456607808
48,B1,KERAMAT,BLOK C JALAN AU1B/1 TAMAN KERAMAT PERMAI. AU1 54200 KUALA LUMPUR,1,3.170144396731262, 101.7384825646657
49,B1,KERAMAT,JALAN AU1 54200 KUALA LUMPUR,1,3.1746263813688396, 101.7381633525851
50,B1,KERAMAT,JALAN AU3 54200 KUALA LUMPUR,4,3.181705103403145, 101.75681334382261
51,B1,KERAMAT,JALAN AU2 TAMAN KERAMAT 54200 KUALA LUMPUR,2,3.178638147249722, 101.7541832959339
52,B1,KERAMAT,INTAN APARTMENT SETIAWANGSA 54200 KUALA LUMPUR,1,3.1824044426250424, 101.7429388507355
53,B1,TAMAN PERMATA,TAMAN PERMATA. 53300 AMPANG JAYA SELANGOR,3,3.158800, 101.757446
54,C2,KUALA LUMPUR,KAMPUNG BARU 50300 KUALA LUMPUR,7,3.163024, 101.7061401
55,C2,KUALA LUMPUR,FLAT PKNS KAMPUNG BARU 50300 KUALA LUMPUR,1,3.16165745007343, 101.70572377098884
56,C2,KUALA LUMPUR,SELANGOR MANSION KUALA LUMPUR CITY CENTRE 50100 KUALA LUMPUR,1,3.152902961357607, 101.69827395073523
57,C2,KUALA LUMPUR,BANDAR TUN RAZAK 56000 KUALA LUMPUR,4,3.091953, 101.7210971
58,C2,KUALA LUMPUR,DESA TUN RAZAK 57000 KUALA LUMPUR,4,3.079034, 101.718229
59,C2,KUALA LUMPUR,APARTMENT DESA TASIK JALAN 2/146. DESA TASIK. SUNGAI BESI 57000 KUALA LUMPUR,2,3.0684273211112827, 101.7134769773035
60,C2,KUALA LUMPUR,FLAT SRI KOTA BANDAR TUN RAZAK 56000 KUALA LUMPUR,2,3.089440301498911, 101.71414639491326
61,C2,KUALA LUMPUR,PPR RAYA PERMAI JALAN LANDAI PERMAI. SUNGAI BESI 57100 KUALALUMPUR,1,3.0599915054586257, 101.70531767984329
62,C2,KUALA LUMPUR,BANDAR TASIK SELATAN 57000 KUALA LUMPUR,1,3.07282611992881, 101.70962283505096
63,C2,PUDU,PERUMAHAN AWAM SERI SELANGOR JALAN SAN PENG. PUDU 55200 KUALA LUMPUR,3,3.1358555267327093, 101.71007915258487
64,C2,PUDU,RUMAH PANGSA AWAM JALAN HANG TUAH. PUDU 55200 KUALA LUMPUR,3,3.138805802643065, 101.70555489491358
65,C2,PUDU,PPR SERI ALAM. PUDU 50460 KUALA LUMPUR,2,3.1274920813386813, 101.70848798894139
66,C2,PUDU,PPR JALAN LOKE YEW. PUDU 55200 KUALA LUMPUR,1,3.1367132195254475, 101.70449659456727
67,C2,CHERAS,PERUMAHAN AWAM SRI JOHOR. TAMAN IKAN EMAS 56000 KUALA LUMPUR,5,3.1149486825414825, 101.71792580840646
68,C2,CHERAS,FLAT SRI SABAH 3 1/2 BATU. JALAN CHERAS. 56100 KUALALUMPUR,2,3.115917, 101.727568
69,C2,CHERAS,PPR KG MUHIBBAH 58200 KUALA LUMPUR,1,3.0617774079169053, 101.66066264055704
70,C2,CHERAS,PANGSAPURI INDAH MAS TAMAN IKAN MAS 56000 CHERAS KUALA LUMPUR,1,3.118033615060415, 101.72146119306377
71,C2,CHERAS,TAMAN IKAN EMAS 56000 KUALA LUMPUR,1,3.11619, 101.7202
72,C2,CHERAS,KAMPUNG CHERAS BARU 56100 KUALA LUMPUR,8,3.111428610907338, 101.7503806146483
73,C2,CHERAS,TAMAN DESA AMAN 56100 KUALA LUMPUR,1,3.094026, 101.74028
74,C2,CHERAS,TAMAN SEGAR 56100 KUALA LUMPUR,1,3.0901, 101.7424
